機台編號,機型代碼,標準週期_秒,轉速_RPM,模溫_攝氏,壓力_Bar,生產速率_件每小時,換模時間_分,備註
WC-101,CUT-A,45,2000,—,—,80,15,切割機
WC-102,CUT-B,30,2500,—,—,120,10,小尺寸精密
WC-103,LAM-A,120,—,80,5.0,30,30,均溫板壓合
WC-104,LAM-B,90,—,60,4.0,40,25,石墨壓合
WC-105,COT-A,60,150,45,—,60,20,塗布機
WC-106,COT-B,75,120,55,—,48,20,高導熱塗布
WC-107,STM-A,15,—,—,80,240,10,沖壓機
WC-108,STM-B,20,—,—,100,180,12,銅鋁沖壓
WC-109,WLD-A,180,—,300,—,20,45,焊接/烤箱
WC-110,OVN-A,3600,—,120,—,—,—,"固化烤箱,批次"
WC-111,DSP-A,60,—,—,2.5,60,5,點膠機
WC-112,LSR-A,90,—,—,—,40,20,雷射切割
WC-113,CMC-A,150,—,200,8.0,24,35,CMC壓合
WC-114,TEC-A,120,—,—,—,30,—,TEC組裝
WC-115,EMI-A,100,—,70,6.0,36,15,EMI壓製
