模具料號,模具品名,庫存數量,單位,存放位置,可用狀態,最後盤點日,備註
MLD-001,切割模具A,2,組,模具室A-01,可用,2026-06-15,
MLD-002,壓合模具B,1,組,模具室A-02,可用,2026-06-15,
MLD-003,沖壓模具C,3,組,模具室B-01,可用,2026-06-15,
MLD-004,塗布刮刀D,5,支,模具室A-03,可用,2026-06-15,
MLD-005,切割模具E,1,組,模具室A-04,可用,2026-06-14,近壽命限
MLD-006,壓合模具F,2,組,模具室A-05,可用,2026-06-15,
MLD-007,雷射治具G,1,組,雷射區,可用,2026-06-15,
MLD-008,沖壓模具H,0,組,—,不可用,2026-06-10,超壽命待換
MLD-009,點膠針頭I,10,支,點膠區,可用,2026-06-15,
MLD-010,EMI壓模J,2,組,模具室C-01,可用,2026-06-15,
MLD-011,CMC壓模K,1,組,模具室C-02,可用,2026-06-15,新品
MLD-012,TEC治具L,2,組,組裝區,可用,2026-06-14,近壽命
