茶園編號,茶園名稱,地理位置,海拔(公尺),面積(公頃),主要品種,有機認證,年產量(公斤),製程特色,合作起始年
NO.1,杉林溪福興茶園,南投縣竹山鎮杉林溪,1600,3.2,青心烏龍,慈心有機認證,1200,中度發酵 輕烘焙,2022
NO.2,梨山華崗茶園,台中市和平區華崗,2500,2.8,青心烏龍,有機轉型期,800,輕度發酵 清香型,2023
NO.3,阿里山石棹茶園,嘉義縣竹崎鄉石棹,1400,4.5,金萱,慈心有機認證,1800,中度發酵 蜜香型,2022
NO.4,坪林文山茶園,新北市坪林區,600,2.1,青心烏龍,慈心有機認證,650,重度發酵 東方美人,2024
NO.5,鹿谷凍頂茶園,南投縣鹿谷鄉凍頂村,800,3.8,青心烏龍,慈心有機認證,1500,凍頂烏龍經典製程,2022
NO.6,蘭陽冬山茶園,宜蘭縣冬山鄉,400,2.5,翠玉,無農藥栽培,900,清香條索狀,2023
NO.7,花蓮舞鶴茶園,花蓮縣瑞穗鄉舞鶴村,300,3.0,大葉烏龍,慈心有機認證,1100,蜜香紅茶為主,2023
NO.8,日月潭紅茶園,南投縣魚池鄉日月潭,700,2.2,台茶 18 號,有機轉型期,700,日月潭紅玉紅茶,2024
NO.9,蘭陽南澳茶園,宜蘭縣南澳鄉,500,1.8,金萱,無農藥栽培,500,小批次手採,2024
NO.10,梨山福壽山茶園,台中市和平區福壽山,2300,2.0,青心烏龍,慈心有機認證,600,高山冷氣茶,2025
NO.11,杉林溪龍鳳峽茶園,南投縣竹山鎮龍鳳峽,1500,2.6,青心烏龍,慈心有機認證,950,雲霧滋潤甘醇,2025
NO.12,坪林白葉茶園,新北市坪林區白葉,500,1.5,白葉品種,無農藥栽培,400,小眾稀有品種,2025
